n_params,n_requires,n_ensures,n_invariants,n_contracts_total,n_loc,has_self,has_other,requires_complexity,ensures_complexity,invariants_complexity,has_missing_requires,has_stateful_contract,n_old_refs,ensures_has_arith,ensures_has_cmp,ensures_has_old,invariants_has_old,invariants_has_cmp,n_snapshots,has_snapshot,snapshot_complexity,ensures_uses_snapshot,contract_has_prestate_reference,has_prestate_reference,n_branches,n_loops,n_returns,has_subscript,has_division,has_mutation,has_method_call,file,function,label
1,1,1,0,2,6,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example004.py,pop_element,1
1,1,1,0,2,5,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example005.py,square,0
1,1,1,0,2,6,0,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example005.py,decrement,1
2,1,1,0,2,5,0,0,2,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example005.py,add,0
1,1,1,0,2,6,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example006.py,first_char,1
1,1,1,0,2,5,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example006.py,uppercase,0
1,1,1,0,2,6,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example007.py,head,1
1,1,1,0,2,5,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example007.py,length,0
1,1,1,0,2,6,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example008.py,positive,1
1,1,1,0,2,5,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example008.py,abs_nonnegative,0
1,1,2,0,3,6,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example008.py,contradiction,1
1,1,1,0,2,6,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example009.py,first,1
1,1,1,0,2,5,0,0,9,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example009.py,tail,0
2,1,1,0,2,6,0,0,6,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example010.py,percentage,1
2,1,1,0,2,5,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example010.py,ratio,1
1,1,1,0,2,5,0,0,9,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example011.py,strip_spaces,0
1,1,1,0,2,6,0,0,9,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example011.py,reverse_string,1
2,1,1,0,2,5,0,0,6,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example011.py,repeat,0
2,0,3,0,3,10,0,0,0,58,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,example012.py,find_pair_with_sum,0
2,0,1,0,1,4,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example012.py,has_pair_with_sum,1
4,4,1,0,5,8,0,0,28,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example013.py,verify_password_count,0
2,1,1,0,2,5,0,0,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example013.py,character_occurrences,0
1,0,2,0,2,9,0,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,example014.py,count_increases,0
1,0,1,0,1,4,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example014.py,has_increase,1
1,1,1,0,2,7,0,0,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example015.py,parse_nonnegative_int,1
1,1,1,0,2,5,0,0,9,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example015.py,is_valid_nonnegative_int,1
2,2,1,0,3,6,0,0,16,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example016.py,get_item_at,0
2,0,1,0,1,4,0,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example016.py,has_valid_index,0
1,1,1,0,2,7,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example017.py,get_first_item,1
2,1,1,0,2,5,0,0,9,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example017.py,starts_with_first,0
3,3,2,0,5,8,0,0,21,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example018.py,normalize_to_unit_interval,0
1,0,1,0,1,4,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example018.py,is_normalized,0
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example019.py,__init__,0
1,0,1,1,2,5,1,0,0,8,8,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,example019.py,increment,0
1,1,1,1,3,8,1,0,8,8,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,example019.py,decrement,0
1,1,1,0,2,5,0,0,15,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example020.py,sum_nonnegative,0
1,1,1,0,2,5,0,0,15,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example020.py,has_positive_sum,1
2,0,1,0,1,6,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example021.py,absolute_difference,1
2,0,1,0,1,4,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example021.py,same_value,0
1,1,2,0,3,6,0,0,9,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example022.py,safe_average,0
1,0,1,0,1,4,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example022.py,has_average,0
1,1,1,0,2,7,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example023.py,first_character,1
1,0,1,0,1,4,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example023.py,is_empty,0
1,1,2,0,3,6,0,0,9,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example024.py,maximum_value,1
1,0,1,0,1,4,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example024.py,has_single_value,0
1,1,2,0,3,8,0,0,9,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example025.py,minimum_value,1
1,0,1,0,1,4,0,0,0,40,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example025.py,is_sorted_nondecreasing,1
1,0,2,0,2,9,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,example026.py,clip_to_unit_interval,0
1,0,1,0,1,4,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example026.py,is_unit_interval_value,0
3,3,2,2,7,9,1,0,19,18,19,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example027.py,__init__,0
1,1,1,2,4,8,1,0,11,11,19,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,example027.py,increment,0
1,0,2,0,2,5,0,0,0,26,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example028.py,reverse_text,0
1,0,1,0,1,4,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example028.py,is_palindrome,1
1,1,1,0,2,5,0,0,9,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example029.py,last_item,0
1,1,2,0,3,8,0,0,9,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example029.py,remove_last_item,1
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example030.py,__init__,0
2,1,1,1,3,6,1,0,6,8,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,example030.py,deposit,0
2,2,1,1,4,9,1,0,15,8,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,example030.py,withdraw,0
2,0,1,0,1,4,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example031.py,count_occurrences,0
2,0,1,0,1,4,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example031.py,contains_value,1
1,0,2,0,2,5,0,0,0,30,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,example032.py,append_zero,0
1,1,1,0,2,5,0,0,9,19,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,example032.py,remove_last,0
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example033.py,__init__,0
2,1,1,1,3,6,1,0,6,18,8,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example033.py,deposit,0
2,2,1,1,4,7,1,0,15,18,8,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example033.py,withdraw,0
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example034.py,__init__,0
1,0,1,1,2,5,1,0,0,17,8,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example034.py,increment,0
1,1,1,1,3,8,1,0,8,17,8,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example034.py,decrement,1
2,0,1,0,1,5,0,0,0,13,0,1,0,0,1,1,0,0,0,1,1,6,1,1,1,0,0,1,0,0,0,0,example035.py,append_value,0
2,0,1,0,1,6,0,0,0,13,0,1,0,0,1,1,0,0,0,1,1,6,1,1,1,0,0,1,0,0,0,0,example035.py,append_value_risky,1
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example035.py,__init__,0
2,1,1,1,3,7,1,0,6,13,8,0,1,0,1,1,0,0,1,1,1,5,1,1,1,0,0,1,0,0,1,0,example035.py,add,0
2,2,3,0,5,11,0,0,12,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,example036.py,next_departure,0
2,2,3,0,5,10,0,0,12,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example036.py,next_departure_risky,1
2,2,3,0,5,9,0,0,25,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,example036.py,lower_half,0
2,2,3,0,5,11,0,0,25,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,example036.py,upper_half_risky,0
1,1,1,0,2,5,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example037.py,first_item,0
1,1,1,0,2,7,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example037.py,first_item_risky,1
2,0,3,0,3,7,0,0,0,44,0,1,0,1,1,1,1,0,0,1,1,6,1,1,1,0,0,1,0,0,0,0,example037.py,append_item,0
1,1,2,0,3,7,0,0,9,30,0,0,0,1,1,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,0,0,example037.py,remove_first,0
1,1,2,0,3,9,0,0,9,30,0,0,0,1,1,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,0,0,example037.py,remove_first_risky,1
2,1,1,1,3,5,1,0,6,9,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example038.py,__init__,0
2,1,1,1,3,7,1,0,6,13,8,0,1,0,1,1,0,0,1,1,1,5,1,1,1,0,0,1,0,0,1,0,example038.py,push,0
1,1,1,1,3,6,1,0,8,17,8,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example038.py,pop,0
1,1,1,1,3,8,1,0,8,17,8,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,example038.py,pop_risky,1
2,1,1,0,2,7,0,0,2,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,example201.py,append,0
2,1,1,0,2,6,0,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example201.py,index,1
2,1,1,0,2,5,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example202.py,power,1
2,1,1,0,2,6,0,0,6,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example202.py,wrong_power,1
2,2,2,0,4,7,0,0,12,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example204.py,adapter_product,0
2,2,1,0,3,8,0,0,12,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example204.py,adapter_product_risky,1
2,1,3,0,4,8,0,0,12,38,0,0,0,1,0,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,0,0,example204.py,take_prefix,0
2,1,1,0,2,8,0,0,12,12,0,0,0,0,0,1,0,0,0,1,1,6,1,1,1,0,0,1,1,0,0,0,example204.py,take_prefix_risky,1
2,1,3,0,4,8,0,0,9,41,0,0,0,1,0,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,0,0,example204.py,replace_first,0
